Mods count: 364
 
jar name                                                                           | mod id (isMCreator)                           | mixin configs
    /META-INF/jarjar/terrablender-bridge-1.11.2+1.20.1.jar                         | connectorextras_terrablender_bridge           | 
    /META-INF/jarjar/rei-bridge-1.11.2+1.20.1.jar                                  | connectorextras_rei_bridge                    | mixins.reibridge.json
    /META-INF/jarjar/reach-entity-attributes-2.4.0.jar                             | reach_entity_attributes                       | mixins.reach-entity-attributes.json
    /META-INF/jarjar/pehkui-bridge-1.11.2+1.20.1.jar                               | connectorextras_pehkui_bridge                 | mixins.pehkuibridge.json
    /META-INF/jarjar/modmenu-bridge-1.11.2+1.20.1.jar                              | connectorextras_modmenu_bridge                | mixins.connectorextras_modmenu_bridge.json
    /META-INF/jarjar/kubejs-bridge-1.11.2+1.20.1.jar                               | connectorextras_kubejs_bridge                 | mixins.connectorextras_kubejs_bridge.json
    /META-INF/jarjar/jei-bridge-1.11.2+1.20.1.jar                                  | connectorextras_jei_bridge                    | mixins.jeibridge.json
    /META-INF/jarjar/geckolib-fabric-compat-1.11.2+1.20.1.jar                      | connectorextras_geckolib_fabric_compat        | mixins.connectorextras_geckolib_fabric_compat.json
    /META-INF/jarjar/forgeconfigapiport-1.11.2+1.20.1.jar                          | forgeconfigapiport                            | 
    /META-INF/jarjar/extras-utils-1.11.2+1.20.1.jar                                |                                               | 
    /META-INF/jarjar/energy-bridge-1.11.2+1.20.1.jar                               | connectorextras_energy_bridge                 | 
    /META-INF/jarjar/emi-bridge-1.11.2+1.20.1.jar                                  | connectorextras_emi_bridge                    | mixins.emibridge.json
    /META-INF/jarjar/architectury-bridge-1.11.2+1.20.1.jar                         | connectorextras_architectury_bridge           | mixins.connectorextras_architectury_bridge.refmap.json, connectorextras_architectury_bridge.mixins.json
    /META-INF/jarjar/amecsapi-1.5.3+mc1.20-pre1.jar                                | amecsapi                                      | amecsapi.mixins.json
continuity-3.0.0+1.20.1.forge.jar                                                  | continuity                                    | continuity.mixins.json
Controlling-forge-1.20.1-12.0.2.jar                                                | controlling                                   | controlling.mixins.json, controlling.forge.mixins.json
coroutil-forge-1.20.1-1.3.7.jar                                                    | coroutil                                      | coroutil.mixins.json, coroutil_fabric.mixins.json
crabbersdelight-1.20.1-1.2.3.jar                                                   | crabbersdelight                               | 
CrashAssistant-forge-1.19-1.20.1-1.11.3.jar                                        | crash_assistant                               | 
    /META-INF/jarjar/app.jar                                                       |                                               | 
    /META-INF/jarjar/crash_assistant-forge.jar                                     | crash_assistant                               | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
crashexploitfixer-forge-1.1.0+1.20.1.jar                                           | crashexploitfixer                             | crashexploitfixer.mixins.json
crawlondemand-1.20-1.0.1.jar                                                       | crawlondemand                                 | mixins.crawlondemand.json, mixins.crawlondemand.refmap.json
cristellib-1.1.6-forge.jar                                                         | cristellib                                    | cristellib.mixins.json, cristellib-common.mixins.json
    /META-INF/jars/jankson-1.2.3.jar                                               |                                               | 
cupboard-1.20.1-3.5.jar                                                            | cupboard                                      | cupboard.mixins.json
curios-forge-5.14.1+1.20.1.jar                                                     | curios                                        | curios.mixins.json
CutThrough-v8.0.2-1.20.1-Forge.jar                                                 | cutthrough                                    | cutthrough.common.mixins.json
decorative_blocks-forge-1.20.1-4.1.3.jar                                           | decorative_blocks                             | decorative_blocks.mixins.json, decorative_blocks.forge.mixins.json
deep_aether-1.20.1-1.1.7.jar                                                       | deep_aether                                   | deep_aether.mixins.json
    /META-INF/jarjar/aeroblender-1.20.1-1.0.2-rc1-neoforge.jar                     | aeroblender                                   | aeroblender.mixins.json
deeper_and_darker_to_cataclysm-1.2.0-forge-1.20.1.jar                              | deeper_and_darker_to_cataclysm (MCreator mod) | 
deeperdarker-forge-1.20.1-1.3.3.jar                                                | deeperdarker                                  | mixins.deeperdarker.json, mixins.deeperdarker.refmap.json
DeleteWorldsToTrash-v8.0.0-1.20.1-Forge.jar                                        | deleteworldstotrash                           | deleteworldstotrash.common.mixins.json
Delightful-1.20.1-3.7.8.jar                                                        | delightful                                    | 
despawntweaks-forge-1.0.0-1.20.1.jar                                               | despawntweaks                                 | mixins.despawntweaks.json
deuf-1.20.1-1.3.jar                                                                | deuf                                          | 
DiagonalFences-v8.1.5-1.20.1-Forge.jar                                             | diagonalfences                                | 
    /META-INF/jarjar/diagonalblocks-forge-8.0.6.jar                                | diagonalblocks                                | diagonalblocks.common.mixins.json
diagonalwallfix-1.0.0-forge-1.20.1.jar                                             | diagonalwallfix                               | 
DiagonalWalls-v8.0.4-1.20.1-Forge.jar                                              | diagonalwalls                                 | 
    /META-INF/jarjar/diagonalblocks-forge-8.0.6.jar                                | diagonalblocks                                | diagonalblocks.common.mixins.json
dimensionalsycnfixes-1.20.1-0.0.1.jar                                              | dimensionalsycnfixes                          | 
distraction_free_recipes-forge-1.2.1-1.20.1.jar                                    | distraction_free_recipes                      | mixins.distraction_free_recipes.json
does_it_tick-forge-1.1.4-1.20.1.jar                                                | does_it_tick                                  | mixins.does_it_tick.json
dolphin_fix-1.0-1.20.1 (FORGE).jar                                                 | dolphin_fix (MCreator mod)                    | mixins.dolphin_fix.json
dragon_mounts_patches-1.0.0.jar                                                    | dragon_mounts_patches                         | dragon_mounts_patches.mixins.json
dragonloot-1.1.15-1.20.1-forge.jar                                                 | dragonloot                                    | dragonloot.mixins.json
dragonmounts-1.20.1-1.2.3-beta.jar                                                 | dragonmounts                                  | dragonmounts.mixins.refmap.json, dragonmounts.mixins.json
drippyloadingscreen_forge_3.1.0_MC_1.20.1.jar                                      | drippyloadingscreen                           | drippyloadingscreen.forge.mixins.json, drippyloadingscreen.mixins.json
dungeons-and-taverns-ancient-city-overhaul-1 [Forge].jar                           | mr_dungeons_andtavernsancientcityoverhaul     | 
DungeonsArise-1.20.x-2.1.58-release.jar                                            | dungeons_arise                                | 
earlybedtime-forge-1.0.0-1.20.1.jar                                                | earlybedtime                                  | mixins.earlybedtime.json
EasyAnvils-v8.0.2-1.20.1-Forge.jar                                                 | easyanvils                                    | easyanvils.common.mixins.json, easyanvils.forge.mixins.json
easydisenchanting-forge-1.0.1-1.20.1.jar                                           | easydisenchanting                             | mixins.easydisenchanting.json
EasyMagic-v8.0.1-1.20.1-Forge.jar                                                  | easymagic                                     | easymagic.common.mixins.json
elevatorid-1.20.1-1.9.1-forge.jar                                                  | elevatorid                                    | 
ElysiumAPI-1.20.1-1.1.3.jar                                                        | elysium_api                                   | mixins.elysium_api.refmap.json, mixins.elysium_api.json
elytraslot-forge-6.4.4+1.20.1.jar                                                  | elytraslot                                    | elytraslot-forge-integrations.mixins.json, elytraslot-integrations.mixins.json
EnchantmentDescriptions-Forge-1.20.1-17.1.21.jar                                   | enchdesc                                      | 
endersdelight-forge-1.20.1-1.1.3.jar                                               | endersdelight                                 | 
entity_model_features_forge_1.20.1-2.4.1.jar                                       | entity_model_features                         | entity_model_features-common.mixins.json, entity_model_features-optional.mixins.json, entity_model_features.mixins.json
entity_texture_features_forge_1.20.1-6.2.9.jar                                     | entity_texture_features                       | entity_texture_features-forge.mixins.json, entity_texture_features-common.mixins.json
    /META-INF/jars/httpmime-4.5.10.jar                                             |                                               | 
entityculling-forge-1.9.5-mc1.20.1.jar                                             | entityculling                                 | entityculling.mixins.json, entityculling.refmap.mixins.json
    /META-INF/jars/TRansition-1.0.11-1.20.1-forge-SNAPSHOT.jar                     | transition                                    | transition.mixins.json, transition.refmap.mixins.json
    /META-INF/jars/TRender-1.0.10-1.20.1-forge-SNAPSHOT.jar                        | trender                                       | trender.mixins.json, trender.refmap.mixins.json
EpheroLib-1.20.1-FORGE-1.2.0.jar                                                   | epherolib                                     | epherolib-root.mixins.json, epherolib.mixins.json
EuphoriaPatcher-1.8.6-r5.7.1-forge.jar                                             | euphoria_patcher                              | euphoria_patcher.mixins.json
everycomp-1.20-2.9.17-forge.jar                                                    | everycomp                                     | everycomp-common.mixins.json
explorations-forge-1.20.1-1.6.1.jar                                                | explorations                                  | explorations.mixins.json
extra_compat-1.5.25.jar                                                            | extra_compat                                  | 
fabric-api-0.92.6+1.11.14+1.20.1.jar                                               | fabric_api                                    | 
    /META-INF/jarjar/fabric-transitive-access-wideners-v1-4.3.2+1880499877.jar     | fabric_transitive_access_wideners_v1          | 
    /META-INF/jarjar/fabric-transfer-api-v1-3.3.6+631c9cd677.jar                   | fabric_transfer_api_v1                        | fabric-transfer-api-v1.mixins.json
    /META-INF/jarjar/fabric-sound-api-v1-1.0.14+4f23bd8477.jar                     | fabric_sound_api_v1                           | fabric-sound-api-v1.mixins.json
    /META-INF/jarjar/fabric-screen-handler-api-v1-1.3.33+561530ec77.jar            | fabric_screen_handler_api_v1                  | fabric-screen-handler-api-v1.mixins.json
    /META-INF/jarjar/fabric-screen-api-v1-2.0.9+45a670a577.jar                     | fabric_screen_api_v1                          | fabric-screen-api-v1.mixins.json
